release,dataSet,met/statusYear,domain/modelVersion,dataSource,dataDestination,diskSize,md5sum
200802,docs,,rv3,{GIT}/releases/download/{MOD}/User_Guide.pdf,,225560,8c6561c19735c6654a784c1d94a3ea7c
201108,meteo,2008,,{FTP}/{REL}/input_data/meteo200801.tar.bz2,,1090680882,fc654223a4f69ca5a06adff732c7ddbb
201108,meteo,2008,,{FTP}/{REL}/input_data/meteo200802.tar.bz2,,1016757296,57f0e4b986f075d5f72b04e979d76c2f
201108,meteo,2008,,{FTP}/{REL}/input_data/meteo200803.tar.bz2,,1108621353,d8ec7e9851aca3da13e37189ecbe61fd
201108,meteo,2008,,{FTP}/{REL}/input_data/meteo200804.tar.bz2,,1072559491,abfba584dfd0346f5c3a1186e94c6785
201108,meteo,2008,,{FTP}/{REL}/input_data/meteo200805.tar.bz2,,1143726536,b83cafbea0f61777e09888b1adec098d
201108,meteo,2008,,{FTP}/{REL}/input_data/meteo200806.tar.bz2,,1095250790,8c9b3e3eebb498d55ed7da07a92e6e96
201108,meteo,2008,,{FTP}/{REL}/input_data/meteo200807.tar.bz2,,1118343108,4390c205b63f7b09ba103c2aaa614251
201108,meteo,2008,,{FTP}/{REL}/input_data/meteo200808.tar.bz2,,1110075985,d90bacb087627a7d0f86e86fde5d89fd
201108,meteo,2008,,{FTP}/{REL}/input_data/meteo200809.tar.bz2,,1092842565,888c037e489a2dac4ce4d3651b932031
201108,meteo,2008,,{FTP}/{REL}/input_data/meteo200810.tar.bz2,,1136947654,005de8e79e5938de1b6dd64484367514
201108,meteo,2008,,{FTP}/{REL}/input_data/meteo200811.tar.bz2,,1070358563,d597352bb830184f66bddc5f2b63f1d4
201108,meteo,2008,,{FTP}/{REL}/input_data/meteo200812.tar.bz2,,1134409502,e6bda52f8b00eee69251834e4b2ef395
201108,input,2008,v201106,{FTP}/{REL}/input_data/other_input_files.tar.bz2,,112183117,b6e0f2021a539793e01043ff4a2d2cb7
201108,source,,v201106,{GIT}/archive/{MOD}.tar.gz,,424960,84b5825297be4ba44044ff06983f12e1
201108,output,2008,v201106,{FTP}/{REL}/model_results_2008/model_results_Base.tar.bz2,,4988678844,02a9284ddc295948ef4300d72a24507b
201108,output,2008,v201106,{FTP}/{REL}/model_results_2008/model_results_Jan_01_02.tar.bz2,,32745137,cd5e9f95c39c2f8ed93ea5da4e35bead
201108,extra,,,{FTP}/{REL}/model_tools/tools.tar.bz2,,2849,cf01ad5c0b866174fe6e96fc93296838
201108,docs,,v201106,{GIT}/releases/download/{MOD}/User_Guide.pdf,,360271,745f35eb41e26b30b327d66fb28dac2c
201209,meteo,2010,,{FTP}/met2010/meteo201001.tar.bz2,,1121901868,4228c41223e842bc3bbc019d32242ac0
201209,meteo,2010,,{FTP}/met2010/meteo201002.tar.bz2,,1017434990,8c166a7d74627885ea9c430c66bf1fb6
201209,meteo,2010,,{FTP}/met2010/meteo201003.tar.bz2,,1118511102,aa641c0c01f929d7d068f1dc41301898
201209,meteo,2010,,{FTP}/met2010/meteo201004.tar.bz2,,1096184462,cc874ca0901717998a54c6f26557f912
201209,meteo,2010,,{FTP}/met2010/meteo201005.tar.bz2,,1162830835,64a70c7a9ccdfe4e8ecfc6738c835820
201209,meteo,2010,,{FTP}/met2010/meteo201006.tar.bz2,,1115210568,279b1b34ffa02c6fbbe2c2a6993b6cba
201209,meteo,2010,,{FTP}/met2010/meteo201007.tar.bz2,,1123852877,4c80b29c774f5ac79f36606b184efc7f
201209,meteo,2010,,{FTP}/met2010/meteo201008.tar.bz2,,1119578686,c50910d2fca0d803258cb657edf3047a
201209,meteo,2010,,{FTP}/met2010/meteo201009.tar.bz2,,1098656016,7104338ca4ae4a8a25c421c8606fb585
201209,meteo,2010,,{FTP}/met2010/meteo201010.tar.bz2,,1144328875,e31bd4ead0e36671e9cf016f6ff71004
201209,meteo,2010,,{FTP}/met2010/meteo201011.tar.bz2,,1077552286,f584635b85479ee4a6d5fab22b34dfc2
201209,meteo,2010,,{FTP}/met2010/meteo201012.tar.bz2,,1136882158,a343dc09bdefbd0421f98294ce206919
201209,input,2010,rv4_0,{FTP}/{REL}/input_data/other_input_files.tar.bz2,,219248288,0de897c54ad8c52af89398a3c5080f92
201209,source,2012,rv4_0,{GIT}/archive/{MOD}.tar.gz,,490823,8fae7f5bb7ce80d5becdb8e465ff726c
201209,output,2010,rv4_0,{FTP}/{REL}/model_results_2010/April_model_results.tar.bz2,,543964348,30f528910126f5fc4c96564d30017aac
201209,output,2010,rv4_0,{FTP}/{REL}/model_results_2010/Base_model_results.tar.bz2,,3246376337,a231c9a61d1e417dc56b5c52ec43a0c9
201209,docs,,rv4_0,{GIT}/releases/download/{MOD}/User_Guide.pdf,,396150,863ecc4833c77fae658df6d595f3adb9
201304,meteo,2010,,{FTP}/met2010/meteo201001.tar.bz2,,1121901868,4228c41223e842bc3bbc019d32242ac0
201304,meteo,2010,,{FTP}/met2010/meteo201002.tar.bz2,,1017434990,8c166a7d74627885ea9c430c66bf1fb6
201304,meteo,2010,,{FTP}/met2010/meteo201003.tar.bz2,,1118511102,aa641c0c01f929d7d068f1dc41301898
201304,meteo,2010,,{FTP}/met2010/meteo201004.tar.bz2,,1096184462,cc874ca0901717998a54c6f26557f912
201304,meteo,2010,,{FTP}/met2010/meteo201005.tar.bz2,,1162830835,64a70c7a9ccdfe4e8ecfc6738c835820
201304,meteo,2010,,{FTP}/met2010/meteo201006.tar.bz2,,1115210568,279b1b34ffa02c6fbbe2c2a6993b6cba
201304,meteo,2010,,{FTP}/met2010/meteo201007.tar.bz2,,1123852877,4c80b29c774f5ac79f36606b184efc7f
201304,meteo,2010,,{FTP}/met2010/meteo201008.tar.bz2,,1119578686,c50910d2fca0d803258cb657edf3047a
201304,meteo,2010,,{FTP}/met2010/meteo201009.tar.bz2,,1098656016,7104338ca4ae4a8a25c421c8606fb585
201304,meteo,2010,,{FTP}/met2010/meteo201010.tar.bz2,,1144328875,e31bd4ead0e36671e9cf016f6ff71004
201304,meteo,2010,,{FTP}/met2010/meteo201011.tar.bz2,,1077552286,f584635b85479ee4a6d5fab22b34dfc2
201304,meteo,2010,,{FTP}/met2010/meteo201012.tar.bz2,,1136882158,a343dc09bdefbd0421f98294ce206919
201304,input,2010,rv4_3,{FTP}/{REL}/input_data/other_input_files.tar.bz2,,262083439,eb42df889afdbfc4ac8590e090710028
201304,source,,rv4_3,{GIT}/archive/{MOD}.tar.gz,,525582,70b0af3be8616deda99234117253fa71
201304,output,2010,rv4_3,{FTP}/{REL}/model_results_rv4_3_2010/Base_model_rv4_3_results.tar.bz2,,3929661092,4bbcf7ea1e0dc9c07ae378867eaac32e
201304,extra,,,{FTP}/{REL}/mscw-osrc_ncl.tar.gz,,303521340,56b102916af6f3209c52742737372e4f
201304,source,,rv4_3,{GIT}/releases/download/{MOD}/README_rv4_3special.txt,,1394,7169a884114727c0ca5b37555381c8ce
201304,output,2010,rv4_3,{FTP}/{REL}/README_rv4_3special.txt,,1394,7169a884114727c0ca5b37555381c8ce
201304,docs,,rv4_3,{GIT}/releases/download/{MOD}/User_Guide.pdf,,412260,0a500dec4b4e8e00233a2d0d8c38109c
201309,meteo,2011,,{FTP}/{REL}/input_data_2011/meteo/meteo201101.tar.bz2,,1248517233,3f245b0148a22f9b94b853d660a458d7
201309,meteo,2011,,{FTP}/{REL}/input_data_2011/meteo/meteo201102.tar.bz2,,1137706586,77c0f2cb0b56b896078088f6001c2516
201309,meteo,2011,,{FTP}/{REL}/input_data_2011/meteo/meteo201103.tar.bz2,,1259347182,ab30f4889e8ae275b29a661b464cda02
201309,meteo,2011,,{FTP}/{REL}/input_data_2011/meteo/meteo201104.tar.bz2,,1234291351,fc35d1ba3412187310a22ebbb67d9668
201309,meteo,2011,,{FTP}/{REL}/input_data_2011/meteo/meteo201105.tar.bz2,,1295193422,1660a0e401c210b525920bcdb86e6a19
201309,meteo,2011,,{FTP}/{REL}/input_data_2011/meteo/meteo201106.tar.bz2,,1253912780,6312f99180e13d5bdd875e8692b2b62d
201309,meteo,2011,,{FTP}/{REL}/input_data_2011/meteo/meteo201107.tar.bz2,,1267526745,64aa295997e18811a2cdd63438a250cc
